834,,,,,,,,,,,,,,,,
latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),gps,power,pitch,roll,yaw,motor on
43.5803481,-116.7406331,0,0,0,0,0,0,0,0,539,10,97,178,180,141,0
43.5803481,-116.7406329,0,0,0,0,0,0,0,0,841,10,97,178,180,141,0
43.5803482,-116.7406328,0,0,0,0,0,0,0,0,1125,10,97,178,180,141,0
43.5803481,-116.7406329,-1,0,0,0,0,0,0,0,1420,10,97,178,180,141,0
43.580348,-116.7406328,0,0,0,0,0,0,0,0,1720,10,97,178,180,140,0
43.5803479,-116.7406326,-1,0,0,0,0,0,0,0,2023,10,97,178,180,140,0
43.5803478,-116.7406326,0,0,0,0,0,0,0,0,2344,10,97,178,180,140,0
43.5803476,-116.7406329,-1,0,0,0,0,0,0,0,2620,10,97,178,180,140,0
43.5803475,-116.7406329,-1,0,0,0,0,0,0,0,2922,10,97,178,180,140,0
43.5803473,-116.7406329,0,0,0,0,0,0,0,0,3221,10,97,178,180,140,0
43.5803472,-116.7406329,0,0,0,0,0,0,0,0,3519,10,97,178,180,140,0
43.5803471,-116.740633,0,0,0,0,0,0,0,0,3843,10,97,178,180,140,0
43.5803471,-116.7406331,-1,0,0,0,0,0,0,0,4119,10,97,178,180,140,0
43.5803471,-116.7406332,0,0,0,0,0,0,0,0,4419,10,97,178,180,140,0
43.5803472,-116.7406332,0,0,0,0,0,0,0,0,4720,10,97,178,180,140,0
43.5803471,-116.7406332,0,0,0,0,0,0,0,0,5019,10,97,178,180,140,0
43.580347,-116.7406331,0,0,0,0,0,0,0,0,5342,10,97,178,180,140,0
43.5803469,-116.7406331,0,0,0,0,0,0,0,0,5619,10,97,178,180,140,0
43.5803471,-116.7406331,0,0,0,0,0,0,0,0,5919,10,97,178,180,140,0
43.580347,-116.7406329,-1,0,0,0,0,0,0,0,6240,10,97,178,180,140,0
43.5803467,-116.740633,0,0,0,0,0,0,0,0,6518,10,97,178,180,140,0
43.5803465,-116.740633,0,0,0,0,0,0,0,0,6843,10,97,178,180,140,0
43.5803463,-116.7406329,0,0,0,0,0,0,0,0,7121,10,97,178,180,140,0
43.5803461,-116.7406329,0,0,0,0,0,0,0,0,7419,10,97,178,180,140,0
43.580346,-116.740633,0,0,0,0,0,0,0,0,7718,10,97,178,180,140,0
43.5803461,-116.7406329,0,0,0,0,0,0,0,0,8018,10,97,178,180,140,0
43.5803459,-116.7406329,0,0,0,0,0,0,0,0,8321,10,97,178,180,140,0
43.580346,-116.7406329,0,0,0,0,0,0,0,0,8618,10,97,178,180,140,0
43.5803459,-116.7406327,0,0,0,0,0,0,0,0,8939,10,97,178,180,140,0
43.5803461,-116.7406324,0,0,0,0,0,0,0,0,9219,10,97,178,180,140,0
43.580346,-116.7406323,0,0,0,0,0,0,0,0,9518,10,97,178,180,140,0
43.5803459,-116.740632,0,0,0,0,0,0,0,0,9833,10,97,178,180,140,0
43.5803459,-116.7406318,0,0,0,0,0,0,0,0,10118,10,97,178,180,140,0
43.580346,-116.7406317,0,0,0,0,0,0,0,0,10419,10,97,178,180,140,0
43.580346,-116.7406316,0,0,0,0,0,0,0,0,10739,10,97,178,180,140,0
43.580346,-116.7406316,0,0,0,0,0,0,0,0,11019,10,97,178,180,140,0
43.580346,-116.7406317,-1,0,0,0,0,0,0,0,11322,10,97,178,180,140,0
43.5803459,-116.7406316,0,0,0,0,0,0,0,0,11640,10,97,178,180,140,0
43.5803457,-116.7406316,0,0,0,0,0,0,0,0,11941,10,97,178,180,140,0
43.5803456,-116.7406315,0,0,0,0,0,0,0,0,12238,10,97,178,180,140,0
43.5803457,-116.7406315,0,0,0,0,0,0,0,0,12541,10,97,178,180,140,0
43.5803457,-116.7406316,0,0,0,0,0,0,0,0,12845,10,97,178,180,140,0
43.5803456,-116.7406317,0,0,0,0,0,0,0,0,13139,10,97,178,180,140,0
43.5803457,-116.7406317,0,0,0,0,0,0,0,0,13440,10,97,178,180,140,0
43.5803457,-116.7406316,-1,0,0,0,0,0,0,0,13742,10,97,178,180,140,0
43.5803457,-116.7406315,0,0,0,0,0,0,0,0,14040,10,97,178,180,140,0
43.5803459,-116.7406315,0,0,0,0,0,0,0,0,14342,10,97,178,180,140,0
43.5803456,-116.7406311,0,0,0,0,0,0,0,0,14660,10,97,178,180,140,0
43.5803458,-116.7406312,0,0,0,0,0,0,0,0,14941,10,97,178,180,140,0
43.5803459,-116.7406312,0,0,0,0,0,0,0,0,15221,10,97,178,180,140,0
43.5803459,-116.7406312,0,0,0,0,0,0,0,0,15545,10,97,178,180,140,0
43.5803459,-116.7406314,0,0,0,0,0,0,0,0,15862,10,97,178,180,140,0
43.5803459,-116.7406312,0,0,0,0,0,0,0,0,16141,10,97,178,180,140,0
43.5803458,-116.7406312,0,0,0,0,0,0,0,0,16445,10,97,178,180,140,0
43.5803459,-116.7406312,0,0,0,0,0,0,0,0,16743,10,97,178,180,140,0
43.5803458,-116.7406311,0,0,0,0,0,0,0,0,17043,10,97,178,180,140,0
43.5803458,-116.7406309,0,0,0,0,0,0,0,0,17344,10,97,178,180,140,1
43.5803457,-116.7406309,0,0,0,0,0,0,0,0,17622,10,97,178,180,140,1
43.5803455,-116.7406308,-1,-1,0,0,0,0,0,0,17943,10,97,178,180,140,1
